MerchantID,MerchantName,RepaymentRate,DisputeRate,DefaultRate,TransactionVolume,TenureMonths,EngagementScore,ComplianceScore,ResponsivenessScore,ExclusivityFlag
M001,Merchant A1,0.8,0.01,0.14,2876,5,0.71,0.68,0.9,1
M002,Merchant B2,0.97,0.1,0.03,2991,4,0.9,0.95,0.45,0
M003,Merchant C3,0.9,0.05,0.04,9027,16,0.92,0.9,0.72,1
M004,Merchant D4,0.87,0.08,0.2,9517,24,0.47,0.62,0.54,0
M005,Merchant E5,0.74,0.14,0.14,6142,16,0.94,0.71,0.61,0
M006,Merchant F6,0.74,0.04,0.01,9010,2,0.71,0.61,0.68,1
M007,Merchant G7,0.72,0.07,0.03,8966,28,0.55,0.8,0.61,0
M008,Merchant H8,0.94,0.12,0.15,9079,32,0.8,0.79,0.79,0
M009,Merchant I9,0.87,0.04,0.01,9987,27,0.64,0.93,0.69,1
M010,Merchant J10,0.9,0.02,0.04,8799,20,0.56,0.72,0.75,0
M011,Merchant K11,0.71,0.05,0.13,6364,24,0.79,0.93,0.84,0
M012,Merchant L12,0.97,0.03,0.16,6465,12,0.47,0.99,0.73,1
M013,Merchant M13,0.93,0.14,0.15,2635,35,0.53,0.64,0.75,1
M014,Merchant N14,0.76,0.12,0.06,7225,33,0.6,0.92,0.74,0
M015,Merchant O15,0.75,0.1,0.16,3693,33,0.48,0.84,0.63,1
M016,Merchant P16,0.75,0.13,0.06,3682,12,0.58,0.79,0.6,0
M017,Merchant Q17,0.79,0.12,0.08,6752,3,0.7,0.77,0.94,1
M018,Merchant R18,0.85,0.04,0.17,2119,1,0.82,0.91,0.76,1
M019,Merchant S19,0.82,0.13,0.15,2830,33,0.84,0.86,0.55,1
M020,Merchant T20,0.78,0.09,0.19,7906,10,0.88,0.92,0.7,1
M021,Merchant U21,0.87,0.12,0.15,5675,29,0.82,0.96,0.6,1
M022,Merchant V22,0.74,0.14,0.13,7177,13,0.78,0.85,0.96,1
M023,Merchant W23,0.78,0.05,0.03,8070,12,0.47,0.99,0.4,0
M024,Merchant X24,0.8,0.03,0.09,3369,31,0.58,0.84,0.54,0
M025,Merchant Y25,0.83,0.04,0.07,2740,2,0.63,0.85,0.62,1
M026,Merchant Z26,0.92,0.07,0.06,9641,35,0.36,0.82,0.69,0
M027,Merchant A27,0.76,0.12,0.21,2116,23,0.67,0.64,0.91,1
M028,Merchant B28,0.84,0.13,0.09,7949,17,0.61,0.89,0.45,0
M029,Merchant C29,0.87,0.01,0.2,4838,26,0.86,0.82,0.88,1
M030,Merchant D30,0.71,0.08,0.14,3150,8,0.98,0.78,0.43,0
M031,Merchant E31,0.87,0.07,0.18,9560,29,0.69,0.96,0.91,0
M032,Merchant F32,0.75,0.04,0.12,3931,26,0.53,0.72,0.43,1
M033,Merchant G33,0.72,0.03,0.13,3012,10,0.33,0.81,0.41,1
M034,Merchant H34,0.97,0.06,0.11,3664,26,0.95,0.88,0.82,1
M035,Merchant I35,0.97,0.14,0.05,3081,34,0.94,0.92,1.0,0
M036,Merchant J36,0.93,0.06,0.16,6729,7,0.48,0.78,0.94,0
M037,Merchant K37,0.79,0.08,0.07,2512,4,0.79,0.94,0.75,1
M038,Merchant L38,0.73,0.11,0.02,9918,11,0.35,0.91,0.95,0
M039,Merchant M39,0.89,0.06,0.15,4849,29,0.42,0.63,0.4,1
M040,Merchant N40,0.82,0.15,0.05,7215,25,0.45,0.62,0.99,1
M041,Merchant O41,0.73,0.14,0.21,9805,21,0.51,0.85,0.69,1
